date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:37:00	6765/6765	---M-Z	200	added ('OK')	text/html	etag:W/%225d66c7cb-1a6d%22	https://shawon276.github.io/lendino12390/	/home/tectosecurity/Templates/web/shawon1/shawon276.github.io/lendino12390/index.html	(from )
16:37:03	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225c1d106f-239b%22	https://shawon276.github.io/robots.txt		(from )
16:37:03	31000/31000	---M-Z	200	added ('OK')	text/css	etag:W/%225d66c7cb-7918%22	https://shawon276.github.io/lendino12390/css/font-awesome.min.css	/home/tectosecurity/Templates/web/shawon1/shawon276.github.io/lendino12390/css/font-awesome.min.css	(from https://shawon276.github.io/lendino12390/)
16:37:04	10408/10408	---M-Z	200	added ('OK')	text/css	etag:W/%225d66c7cb-28a8%22	https://shawon276.github.io/lendino12390/css/style.css	/home/tectosecurity/Templates/web/shawon1/shawon276.github.io/lendino12390/css/style.css	(from https://shawon276.github.io/lendino12390/)
16:37:05	5244/5244	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225d66c7cb-147c%22	https://shawon276.github.io/lendino12390/image/logo.svg	/home/tectosecurity/Templates/web/shawon1/shawon276.github.io/lendino12390/image/logo.svg	(from https://shawon276.github.io/lendino12390/)
16:37:14	62863/62863	---M--	200	added ('OK')	image/png	etag:%225d66c7cb-f58f%22	https://shawon276.github.io/lendino12390/image/last.png	/home/tectosecurity/Templates/web/shawon1/shawon276.github.io/lendino12390/image/last.png	(from https://shawon276.github.io/lendino12390/)
16:37:14	109237/109237	---M--	200	added ('OK')	image/jpeg	etag:%225d66c7cb-1aab5%22	https://shawon276.github.io/lendino12390/image/image.jpg	/home/tectosecurity/Templates/web/shawon1/shawon276.github.io/lendino12390/image/image.jpg	(from https://shawon276.github.io/lendino12390/)
16:37:19	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225d66c7cb-2876e%22	https://shawon276.github.io/lendino12390/fonts/fontawesome-webfont.eot?v=4.7.0	/home/tectosecurity/Templates/web/shawon1/shawon276.github.io/lendino12390/fonts/fontawesome-webfont3e6e.eot	(from https://shawon276.github.io/lendino12390/css/font-awesome.min.css)
16:37:23	98024/98024	---M--	200	added ('OK')	font/woff	etag:%225d66c7cb-17ee8%22	https://shawon276.github.io/lendino12390/fonts/fontawesome-webfont.woff?v=4.7.0	/home/tectosecurity/Templates/web/shawon1/shawon276.github.io/lendino12390/fonts/fontawesome-webfont3e6e.woff	(from https://shawon276.github.io/lendino12390/css/font-awesome.min.css)
16:37:23	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%225d66c7cb-12d68%22	https://shawon276.github.io/lendino12390/fonts/fontawesome-webfont.woff2?v=4.7.0	/home/tectosecurity/Templates/web/shawon1/shawon276.github.io/lendino12390/fonts/fontawesome-webfont3e6e.woff2	(from https://shawon276.github.io/lendino12390/css/font-awesome.min.css)
16:37:25	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225d66c7cb-2876e%22	https://shawon276.github.io/lendino12390/fonts/fontawesome-webfont.eot?	/home/tectosecurity/Templates/web/shawon1/shawon276.github.io/lendino12390/fonts/fontawesome-webfontd41d.eot	(from https://shawon276.github.io/lendino12390/css/font-awesome.min.css)
16:37:34	165548/165548	---M--	200	added ('OK')	font/ttf	etag:%225d66c7cb-286ac%22	https://shawon276.github.io/lendino12390/fonts/fontawesome-webfont.ttf?v=4.7.0	/home/tectosecurity/Templates/web/shawon1/shawon276.github.io/lendino12390/fonts/fontawesome-webfont3e6e.ttf	(from https://shawon276.github.io/lendino12390/css/font-awesome.min.css)
16:37:35	444379/444379	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225d66c7cb-6c7db%22	https://shawon276.github.io/lendino12390/fonts/fontawesome-webfont.svg?v=4.7.0	/home/tectosecurity/Templates/web/shawon1/shawon276.github.io/lendino12390/fonts/fontawesome-webfont3e6e.svg	(from https://shawon276.github.io/lendino12390/css/font-awesome.min.css)
